positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length,percentage_of_personal_pronouns,Percentage_of_complex_words_three_syllables
0,0,0.0,0.0,12,0.23076923076923078,4.892307692307693,13,13,13,22,0,4.615384615384615,0.0,0.23076923076923078
1,0,0.9999990000010001,0.07692307100591762,12,0.0,4.800000000000001,13,13,13,14,0,3.1538461538461537,0.0,0.0
0,0,0.0,0.0,40,0.34146341463414637,16.13658536585366,41,41,41,79,0,5.7317073170731705,0.0,0.2682926829268293
5,2,0.4285713673469475,0.026086956294896033,110,0.2608695652173913,44.10434782608696,115,115,115,200,0,5.28695652173913,0.0,0.23478260869565218
0,0,0.0,0.0,6,0.5,2.6,6,6,6,14,0,6.5,0.0,0.3333333333333333
8,0,0.9999998750000157,0.056737588250088025,138,0.44680851063829785,55.378723404255325,141,141,141,299,3,6.553191489361702,0.02127659574468085,0.3475177304964539
1,0,0.9999990000010001,0.06666666222222252,12,0.26666666666666666,4.906666666666667,15,15,15,32,2,6.866666666666666,0.13333333333333333,0.26666666666666666
1,0,0.9999990000010001,0.06666666222222252,15,0.13333333333333333,6.053333333333334,15,15,15,20,2,4.2,0.13333333333333333,0.06666666666666667
7,2,0.5555554938271674,0.022624434286767265,219,0.4841628959276018,87.79366515837104,221,221,221,480,2,6.321266968325792,0.00904977375565611,0.4253393665158371
3,0,0.9999996666667778,0.2499999791666684,11,0.3333333333333333,4.533333333333334,12,12,12,20,0,5.333333333333333,0.0,0.25
0,0,0.0,0.0,11,0.18181818181818182,4.472727272727273,11,11,11,19,0,5.454545454545454,0.0,0.09090909090909091
3,0,0.9999996666667778,0.17647057785467188,16,0.23529411764705882,6.4941176470588236,17,17,17,26,0,4.705882352941177,0.0,0.17647058823529413
8,1,0.7777776913580343,0.028340080856922748,243,0.3522267206477733,97.34089068825911,247,247,247,487,9,6.153846153846154,0.03643724696356275,0.2631578947368421
0,1,-0.9999990000010001,-0.00970873776981808,99,0.32038834951456313,39.728155339805824,103,103,103,202,4,5.932038834951456,0.038834951456310676,0.24271844660194175
0,0,0.0,0.0,83,0.24705882352941178,33.29882352941177,85,85,85,139,2,5.258823529411765,0.023529411764705882,0.17647058823529413
2,0,0.99999950000025,0.09523809070294806,20,0.2857142857142857,8.114285714285714,21,21,21,38,0,5.0,0.0,0.14285714285714285
1,0,0.9999990000010001,0.08333332638888948,11,0.25,4.5,12,12,12,17,0,4.0,0.0,0.16666666666666666
1,0,0.9999990000010001,0.041666664930555625,23,0.4583333333333333,9.383333333333333,24,24,24,57,0,6.333333333333333,0.0,0.4166666666666667
2,0,0.99999950000025,0.09523809070294806,20,0.2857142857142857,8.114285714285714,21,21,21,37,0,4.9523809523809526,0.0,0.19047619047619047
0,0,0.0,0.0,31,0.2647058823529412,12.505882352941178,34,34,34,64,0,5.205882352941177,0.0,0.23529411764705882
2,0,0.99999950000025,0.09523809070294806,18,0.38095238095238093,7.352380952380952,21,21,21,33,0,4.190476190476191,0.0,0.19047619047619047
2,0,0.99999950000025,0.048780486615110086,34,0.17073170731707318,13.66829268292683,41,41,41,44,2,3.8048780487804876,0.04878048780487805,0.07317073170731707
1,0,0.9999990000010001,0.06666666222222252,12,0.26666666666666666,4.906666666666667,15,15,15,19,0,3.8666666666666667,0.0,0.06666666666666667
1,0,0.9999990000010001,0.07142856632653098,13,0.5714285714285714,5.428571428571429,14,14,14,35,0,7.285714285714286,0.0,0.42857142857142855
2,0,0.99999950000025,0.09523809070294806,20,0.3333333333333333,8.133333333333333,21,21,21,35,0,4.619047619047619,0.0,0.19047619047619047
2,1,0.33333322222225925,0.06249999609375024,15,0.4375,6.175000000000001,16,16,16,33,0,6.1875,0.0,0.4375
2,2,0.0,0.0,12,0.6153846153846154,5.046153846153846,13,13,13,30,0,7.0,0.0,0.46153846153846156
1,0,0.9999990000010001,0.06249999609375024,15,0.3125,6.125,16,16,16,28,0,4.5625,0.0,0.3125
1,0,0.9999990000010001,0.08333332638888948,9,0.5,3.8000000000000003,12,12,12,22,0,4.833333333333333,0.0,0.25
1,0,0.9999990000010001,0.03999999840000006,24,0.4,9.76,25,25,25,36,0,4.8,0.0,0.16
1,0,0.9999990000010001,0.030303029384756687,31,0.2727272727272727,12.50909090909091,33,33,33,50,0,4.696969696969697,0.0,0.15151515151515152
